Country,Name (hull number),Length,Tonnage,Class,Propulsion,Type,Classification,Commissioned
Australia,Canberra (L02),230 m (750 ft),"27,100 t",Canberra (modified) Juan Carlos I class,Conventional,STOVL,LHD,28-Nov-14
Australia,Adelaide (L01),230 m (750 ft),"27,100 t",Canberra (modified) Juan Carlos I class,Conventional,STOVL,LHD,4-Dec-15
Brazil,Atlântico (A140),203.4 m (667 ft),"21,500 t",Ocean,Conventional,VTOL,LPH,29 June 2018[25]
China,Liaoning (16),"306.5 m (1,006 ft)","67,500 t",Type 001 (Kuznetsov[26]),Conventional,STOBAR,Aircraft carrier,25 September 2012[3]
China,Shandong (17),"305 m (1,001 ft)[27]","70,000 t",Type 002,Conventional,STOBAR,Aircraft carrier,17-Dec-19
China,Hainan (31),237 m (778 ft),"35,000 t",Type 075,Conventional,VTOL,LHD,23-Apr-21
Egypt,Gamal Abdel Nasser (1010),199 m (653 ft),"21,300 t",Mistral,Conventional,VTOL,LHD,2-Jun-16
Egypt,Anwar El Sadat (1020),199 m (653 ft),"21,300 t",Mistral,Conventional,VTOL,LHD,16-Sep-16
France,Charles de Gaulle (R91),262 m (860 ft),"42,000 t",Charles de Gaulle,Nuclear,CATOBAR,Aircraft carrier,18-May-01
France,Mistral (L9013),199 m (653 ft),"21,300 t",Mistral,Conventional,VTOL,LHD,1-Feb-06
France,Tonnerre (L9014),199 m (653 ft),"21,300 t",Mistral,Conventional,VTOL,LHD,1-Dec-06
France,Dixmude (L9015),199 m (653 ft),"21,300 t",Mistral,Conventional,VTOL,LHD,27-Dec-12
India,Vikramaditya (R33),284 m (932 ft),"45,400 t",Kiev class (Modified),Conventional,STOBAR,Aircraft carrier,16 November 2013[28]
Italy,Giuseppe Garibaldi (C 551),180 m (590 ft),"13,850 t",Giuseppe Garibaldi,Conventional,STOVL,Anti-submarine warfare carrier,30-Sep-85
Italy,Cavour (C 550),244 m (801 ft),"27,000 t[29]",Cavour,Conventional,STOVL,Aircraft carrier,27-Mar-08
Japan,Izumo (DDH-183),248 m (814 ft),"27,000 t",Izumo,Conventional,VTOL,Helicopter Destroyer / Aircraft carrier (from 2021),25-Mar-15
Japan,Kaga (DDH-184),248 m (814 ft),"27,000 t",Izumo,Conventional,VTOL,Helicopter Destroyer / Aircraft carrier (from 2022),22-Mar-17
Japan,Hyūga (DDH-181),197 m (646 ft),"19,000 t",Hyūga,Conventional,VTOL,Helicopter Destroyer,18-Mar-09
Japan,Ise (DDH-182),197 m (646 ft),"19,000 t",Hyūga,Conventional,VTOL,Helicopter Destroyer,16-Mar-11
Russia,Admiral Kuznetsov (063),"306.5 m (1,006 ft)","58,600 t",Kuznetsov,Conventional,STOBAR,Aircraft carrier,21-Jan-91
South Korea,Dokdo (LPH-6111),199 m (653 ft),"18,800 t",Dokdo,Conventional,VTOL,LPH,3-Jul-07
South Korea,Marado (LPH-6112),199 m (653 ft),"18,800 t",Dokdo,Conventional,VTOL,LPH,28-Jun-21
