"","headlines","links","summary","body","date"
"1","Governor Tong Aken claims Abraham Awolich is hiding at US embassy in Juba","https://www.sudanspost.com/governor-tong-aken-claims-abraham-awolich-is-hiding-at-us-embassy-in-juba/","""One of them is in jail, two of them are on the run and one in the person of Abraham Awolich, is hiding at the American embassy in South Sudan.""","Governor of Northern Bahr el Ghazal state Tong Aken Ngor. [Photo by William Akuei/YouTube]JUBA – The governor of South Sudan’s Northern Bahr el Ghazal state Tong Aken Ngor has claimed without evidence that activist Abraham Awolich, is hiding at the United States embassy in South Sudan’s capital Juba saying he has been planning the protests along with his colleagues from the United States mission’s headquarters in Juba.","August 28, 2021"
"2","Long-time US envoy to Sudan and South Sudan Donald Booth retires","https://www.sudanspost.com/long-time-us-envoy-to-sudan-and-south-sudan-donald-booth-retires/","The American special envoy to Sudan and South Sudan Donald Booth has ended his diplomatic service and is now going for retirement, the United States Embassy in South Sudan said in a brief social media statement on Thursday.","US Special Envoy for Sudan and South Sudan Donald Booth [Photo via Radio Dabanga]JUBA – The American special envoy to Sudan and South Sudan Donald Booth has ended his diplomatic service and is now going for retirement, the United States Embassy in South Sudan said in a brief social media statement on Thursday.","August 27, 2021"
"3","Americans told to be cautious ahead of South Sudan’s looming popular uprising","https://www.sudanspost.com/americans-told-to-be-cautious-ahead-of-south-sudans-looming-popular-uprising/","The United States Embassy in South Sudan is appealing to its citizens to be cautious just one week before anti-government nation-wide protests, meant to depose President Salva Kiir and his first deputy Dr. Riek Machar Teny from power, commence.","US embassy press release illustration [Photo by US embassy in Juba]JUBA – The United States Embassy in South Sudan is appealing to its citizens to be cautious just one week before anti-government nation-wide protests, meant to depose President Salva Kiir and his first deputy Dr. Riek Machar Teny from power, commence.","August 26, 2021"
"4","Trump urges Biden to ‘resign in disgrace’ after Taliban takeover of Afghanistan","https://www.sudanspost.com/trump-urges-biden-to-resign-in-disgrace-after-taliban-takeover-of-afghanistan/","""It's time for Biden to resign in disgrace for what he's allowed to happen to Afghanistan. It should not be a big deal because he (Biden) wasn't elected legitimately in the first place!""","Former US President Donald Trump and incumbent Joe Biden. [Photo via ABC News]WASHINGTON DC. – Former US President Donald Trump has called for President Joe Biden to step down “in disgrace” in the wake of the U.S. troop pullout from Afghanistan and the Taliban’s takeover of the country.","August 15, 2021"
"5","South Sudan’s powerful friends welcome presidency directive for unification of forces","https://www.sudanspost.com/south-sudans-powerful-friends-welcome-presidency-directive-for-unification-of-forces/","The Troika countries, United States, United Kingdom and Norway, have welcomed the government’s renewed commitments to the unification of rival forces' military command structures that is essential for overseeing the graduation of Necessary Unified Forces.","Troika and EU diplomats speaking to state media following meeting with First Vice President Dr. Riek Machar Teny in Juba on Tuesday, May 11, 2021 [Photo via FVP’s office]JUBA – The Troika countries, United States, United Kingdom and Norway, have welcomed the government’s renewed commitments to the unification of rival forces’ military command structures that is essential for overseeing the graduation of Necessary Unified Forces.","August 12, 2021"
"6","American senator warns Kiir risks losing US support over rights suppression","https://www.sudanspost.com/american-senator-warns-kiir-risks-losing-us-support-over-rights-suppression/","""He has no time to waste, or he will risk wasting his country’s future and losing the support of the United States.""","United States Senator Patrick Leahy. [Photo by Senate.Gov]JUBA – A United States senator has warned that President Salva Kiir Mayardit’s regime may lose support of the American government over continued suppression of human rights in the world’s youngest country days after former Northern Bahr el Ghazal state governor Kuel Aguer was arrested following formation of a civil rights group.","August 6, 2021"
"7","US Congressional delegation arrives in Juba","https://www.sudanspost.com/us-congressional-delegation-arrives-in-juba/","Kiir’s office said in a statement seen by Sudans Post that the visiting United States lawmakers, ten in number, include Jonathan Scott Gration, Marjorie Margolies, Christopher Shays, Mark Deli, Troy Dale, Richard Nelson Swetter, Gary Robert Waldton, Mark Daneil, Rollan A Roberts, and Bob MchEwen.","JUBA — A high-level delegation of the United States Congress are in South Sudan’s capital Juba to promotes bilateral relations between United States and South Sudan, according to the presidency. ","July 26, 2021"
"8","US accuses South Sudan gov’t of perpetrating ‘ethnic-based killings’","https://www.sudanspost.com/breaking-us-accuses-south-sudan-govt-of-perpetrating-ethnic-based-killings/","""The government has perpetrated extrajudicial killings including ethnic-based killings of civilians, widespread sexual violence, and use of food as a weapon of war.""","US President Joe Biden and South Sudan President Salva Kiir Mayardit. [Photos via Getty Images]WASHINGTON – President Joe Biden’s United States Administration on Monday accused South Sudan government of perpetrating ethnic-based killings and for using food as a weapon of war, days after the country marked ten years of independence.","July 13, 2021"
"9","Blinken says US proud to support South Sudan on Independence Day","https://www.sudanspost.com/blinken-says-us-proud-to-support-south-sudan-on-independence-day/","United States is the first country to issue congratulatory message for South Sudan on Independence Day, after collectively issuing one as part of the Troika, a group of three powerful countries including UK and Norway!","Secretary of State Antony Blinken waves as he departs, Monday, May 24, 2021, at Andrews Air Force Base, Md. Blinken is en route to the Middle East. [Photo by AP via Al Arabiya]JUBA – United States Secretary of State Anthony Blinken has issued a statement this morning reiterating the United States government’s support to the people of South Sudan saying the world’s most powerful country is proud to continue doing so so.","July 8, 2021"
"10","S. Sudan’s best friends reiterate support as country they helped midwife turns ten – statement","https://www.sudanspost.com/s-sudans-best-friends-reiterate-support-as-country-they-helped-midwife-turns-ten-statement/","South Sudan's independence came about after the then Islamist government in Khartoum accepted – after intense pressure from the West – a peace deal that guarantee self-determination for the people of South Sudan resulting in the 2011 historic vote for a new country.","South Sudan president Salva Kiir Mayardit (right) and his first deputy Dr. Riek Machar Teny (left) meeting Troika envoys in Juba on Wednesday, December 9, 2020 [Photo by presidency]South Sudan president Salva Kiir Mayardit (right) and his first deputy Dr. Riek Machar Teny (left) meeting Troika envoys in Juba on Wednesday, December 9, 2020 [Photo by presidency]JUBA – The Troika countries – the United States, Norway and the United Kingdom – have issued a statement this morning ahead of South Sudan’s 10th independence anniversary reiterating their commitment to support the world’s youngest country.","July 8, 2021"
"11","Ex-South Sudan youth minister James Makuach Teny joins Gen. Gatwech","https://www.sudanspost.com/ex-south-sudan-youth-minister-james-makuach-teny-joins-general-gatwech/","Speaking to Sudans Post from Kitgwang, Magenis, this morning, General William Gatjiath Deng, the spokesman of the SPLA-IO faction led by Gen. Gatwech said General Makuach Teny declared his intention to join the Kitgwang faction following his arrival at Magenis on Tuesday morning.","JUBA — South Sudan’s former Minister of Youth, Sports and Recreation General James Makuach Teny who left the main armed opposition group, SPLM-IO, in 2016 has joined the group’s Kitgwang faction led by former military chief General Simon Gatwech Dual, an opposition spokesman allied to Gatwech said.","August 31, 2021"
"12","Machar’s head of diplomatic mission to Egypt, colleagues join Gen. Gatwech","https://www.sudanspost.com/machars-head-of-diplomatic-mission-to-egypt-colleagues-join-gen-gatwech/","In a statement over the weekend, Amb. Chukwan Philip said he and his colleagues have decided to join Gen. Simon Gatwech Dual who declared on August 4, 2021, at Kitgwang, Magenis, that Machar was no longer the head of the main armed opposition group before installing himself as the interim chairman.","SPLM-IO’s Acting Head of Mission to Egypt Chukwan Philip Achwil. [Photo via Facebook]CAIRO, EGYPT – The acting head of the SPLM-IO mission to the Arab Republic of Egypt Chukwan Philip has declared his intention to abandon the SPLM-IO faction led by First Vice President Dr. Riek Machar Teny in Juba and join – along with his colleagues in the mission – the SPLM-IO Kitgwang faction led by former SPLA-IO chief of staff Gen. Simon Gatwech Dual.","August 31, 2021"
"13","Gen. Gatwech’s group says Machar’s forces marching to attack Magenis","https://www.sudanspost.com/gen-gatwechs-group-says-machars-forces-marching-to-attack-magenis/","In a statement extended to Sudans Post this morning, Brigadier General William Gatjiath Deng, the SPLA-IO spokesman loyal to General Simon Gatwech Dual, said forces loyal to Machar under the direct command of the SPLA-IO spy chief General Yieh Dak are on their way to attack them.","JUBA — South Sudan’s main armed opposition group, SPLA-IO, faction led by General Simon Gatwech Dual has warned of imminent attack this morning by forces loyal to First Vice President Dr. Riek Machar Teny.","August 31, 2021"
"14","Armed men demand SSP7m ransom after kidnapping 15 traders heading to Unity state in Jonglei","https://www.sudanspost.com/armed-men-demand-ssp7m-ransom-after-kidnapping-15-traders-heading-to-unity-state-in-jonglei/","Speaking to Sudans Post this morning, a senior state government official in Bentiu said the traders who left Juba over the weekend were kidnapped at Machar Nyang village along the River Nile in Jonglei state and have been taken by the kidnappers to neighboring Lakes state where the kidnappers are demanding to be approached with the ransom.","Armed civilians seen in an unidentified location in South Sudan. [Photo via The Sun News Online]BENTIU – Authorities in South Sudan’s oil-rich Unity state are saying that a group of unidentified gunmen is demanding a ransom of seven millions South Sudanese Pounds after they kidnapped, at a coastal village in Jonglei state, fifteen traders heading to Unity state’s Adok Port from Juba.","August 26, 2021"
"15","Ex-governor’s wife commits suicide in Lakes, husband threatens to kill himself – police chief","https://www.sudanspost.com/ex-governors-wife-commits-suicide-in-lakes-husband-threatens-to-kill-himself-police-chief/","Major-General Madut Ngor said in an interview with Radio Tamazuj said Anhom Mayom Mabor shot herself with her husband's gun on Wednesday morning at Deng-Nhial residential area in the morning.","South Sudan map featuring Lakes state in red [Photo via Wikipedia]JUBA – The wife of former governor of South Sudan’s defunct Western Lakes state Deng Maber Yuol has died by reportedly committing suicide, state police chief has said.","August 26, 2021"
"16","2 women killed after deadly Jonglei road ambush","https://www.sudanspost.com/2-women-killed-after-deadly-jonglei-road-ambush/","At least two women were killed in Jonglei state's Duk County on Thursday morning following a road ambush by unidentified gunmen, according to Duk County Commissioner John Chatim, Radio Tamazuj reports.","Jonglei state appears inside South Sudan’s map [Photo by Al Jazeera]BOR – At least two women were killed in Jonglei state’s Duk County on Thursday morning following a road ambush by unidentified gunmen, according to Duk County Commissioner John Chatim, Radio Tamazuj reports.","August 21, 2021"
"17","‘Young Tycoon’ Lawrence Lual Malong sentenced to 6 years in jail over $1m gold scam","https://www.sudanspost.com/young-tycoon-lawrence-lual-malong-sentenced-to-6-years-in-jail-over-1m-gold-scam/","A court in Ugandan has sentenced South Sudanese national Lawrence Lual Malong Yor who is better known as 'Young Tycoon' to six years in Jail along with two others for obtaining over $1 million false pretenses.","Businessman Lual Malong Yor aka young Tycoon standing in a Uganda court. [Photo screen grab]KAMPALA, UGANDA – A court in Ugandan has sentenced South Sudanese national Lawrence Lual Malong Yor who is better known as ‘Young Tycoon’ to six years in Jail along with two others for obtaining over $1 million false pretenses.","August 17, 2021"
"18","Woman arrested for beheading own baby in Aweil","https://www.sudanspost.com/woman-arrested-for-beheading-own-baby-in-aweil/","Northern Bahr el Ghazal police spokesman Captain Guot Akol said the woman identified as 25-year-old Achut Kon Deng beheaded the baby just after birth and was arrested on Saturday after dumping the baby at a graveyard at Maper residential area.","JUBA — A woman has been arrested in South Sudan’s Northern Bahr el Ghazal state’s capital Aweil for allegedly beheading his own new-born child, according to police authorities there.","August 10, 2021"
"19","Minister Mayen continue to detain wife against will despite calls from family to return her","https://www.sudanspost.com/minister-mayen-continue-to-detain-wife-against-will-despite-calls-from-family-to-return-her/","This comes a week after minister Mayen was involved in a domestic violence with Aluel Garang Garang who is widely known as Aluel Messi.","JUBA — South Sudan’s minister of humanitarian affairs and disaster management Peter Mayen Majongdit has defied calls for him to return his wife Aluel Garang to her family and has continued to lock her will in a room in Kuajok.","August 4, 2021"
"20","Aweil man dies while in military custody, 4 officers linked to his death arrested","https://www.sudanspost.com/aweil-man-dies-while-in-military-custody-4-officers-linked-to-his-death-arrested/","According to an eye witness quoted by the Juba-based 'Talk of Juba', the man was arrested at a local lodge in Warawar town of Aweil East County on Monday evening and was later on Tuesday morning found dead in custody.","Map of Northern Bahr el Ghazal in red [Photo via Wikipedia]AWEIL – Authorities in South Sudan’s Northern Bahr el Ghazal state have said that a man has died at a military custody after an illegal arrest by members of the National Security Service (NSS) and the Military Intelligence (MI) in Aweil East County.","August 3, 2021"
